velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
28.6,509.5,0.51,0.98,-9.9,-4.0,954.6,39.90535,32.80498,-95.4,36,0.4,29.8,2.68,1.9,-10.65,14:01:12.007
35.4,523.7,-1.09,-0.96,-10.94,-4.8,952.0,39.905323,32.80492,-96.0,37,1.8,34.8,-0.55,-0.94,3.92,14:01:12.108
33.9,541.1,-1.5,2.11,-9.14,-4.1,950.5,39.905369,32.804969,-87.1,38,1.1,34.1,-3.74,1.0,-1.35,14:01:12.209
35.4,549.2,-1.1,1.45,-10.33,-5.5,950.4,39.905318,32.804927,-100.3,39,1.0,36.5,4.15,-1.51,6.51,14:01:12.310
36.3,558.4,3.31,-4.28,-8.26,-4.9,949.9,39.905358,32.804923,-98.3,40,1.7,36.7,-3.96,-3.7,-3.38,14:01:12.411
34.6,557.2,-0.63,-0.94,-8.55,-5.3,949.2,39.905353,32.804958,-96.0,41,0.1,35.5,8.72,7.63,2.22,14:01:12.511
39.6,570.2,1.8,-4.06,-8.09,-5.5,948.1,39.905331,32.80492,-92.2,42,0.8,39.5,7.63,-3.21,0.02,14:01:12.612
39.4,606.7,-2.87,0.07,-8.74,-5.2,942.6,39.905297,32.804926,-88.4,43,1.6,40.1,4.88,-5.72,-5.36,14:01:12.713
37.6,604.3,4.09,1.26,-11.72,-4.9,943.4,39.905366,32.804943,-87.6,44,1.4,34.8,0.47,-3.71,-4.74,14:01:12.814
42.4,631.0,1.52,0.53,-10.54,-5.4,941.1,39.905349,32.804947,-97.6,45,1.7,42.7,7.91,1.76,0.07,14:01:12.915
37.0,623.8,-0.81,-1.05,-9.46,-5.2,941.0,39.905351,32.804946,-104.4,46,0.9,39.2,-1.45,2.86,8.16,14:01:13.015
41.7,655.6,5.58,1.93,-8.68,-5.3,938.0,39.90536,32.804954,-97.4,46,0.7,42.0,2.18,-6.89,5.23,14:01:13.116
41.4,670.0,0.11,2.14,-12.47,-5.5,936.9,39.905334,32.804996,-90.5,47,1.8,40.2,-2.21,-2.69,2.88,14:01:13.217
40.9,685.9,-1.02,1.82,-8.99,-5.3,935.4,39.905361,32.804967,-97.9,48,0.8,39.3,8.35,-6.78,3.92,14:01:13.318
46.7,688.5,3.37,-0.34,-9.8,-5.5,933.8,39.905333,32.80496,-92.0,49,0.2,46.6,3.87,5.65,6.04,14:01:13.418
44.3,705.0,-0.73,0.99,-8.91,-5.7,933.2,39.905334,32.804958,-105.0,50,1.1,44.7,1.54,1.86,-2.72,14:01:13.519
47.8,715.3,-2.36,-1.78,-13.14,-5.9,932.4,39.905344,32.804973,-101.5,51,0.8,47.9,6.28,4.72,-1.83,14:01:13.624
47.5,730.0,-1.33,-1.22,-9.06,-5.6,930.3,39.90539,32.804933,-97.4,52,1.8,47.7,0.18,-5.01,-0.38,14:01:13.725
45.6,746.3,-1.1,1.49,-9.29,-6.6,928.3,39.905367,32.804979,-100.1,53,0.4,46.6,-4.3,-6.85,-8.06,14:01:13.826
51.2,772.6,3.19,1.61,-8.52,-6.0,925.3,39.905362,32.804972,-90.6,54,1.9,51.4,4.45,10.74,1.33,14:01:13.927
47.7,783.7,-6.94,-1.04,-9.34,-6.0,924.1,39.905352,32.804922,-98.1,55,0.4,47.9,2.82,-0.11,0.08,14:01:14.028
48.4,792.0,-2.55,0.92,-11.57,-6.8,921.6,39.905331,32.804946,-91.0,56,1.9,48.5,-3.22,2.61,-6.05,14:01:14.129
47.0,810.2,1.63,0.43,-9.48,-6.1,920.8,39.905386,32.804956,-86.4,57,1.4,45.6,-6.88,7.08,9.3,14:01:14.229
50.7,802.6,0.55,2.5,-9.66,-6.5,922.0,39.905335,32.804973,-100.2,58,1.0,50.6,8.5,-6.73,0.8,14:01:14.330
51.2,823.4,6.58,-1.66,-7.5,-6.2,919.6,39.905391,32.804955,-101.8,59,1.0,50.4,2.49,4.06,-4.68,14:01:14.431
54.2,845.5,0.55,4.17,-12.25,-6.2,917.0,39.905367,32.804945,-99.8,60,1.0,53.7,-8.93,-8.92,-1.67,14:01:14.532
54.0,847.8,1.32,-0.7,-10.47,-6.3,916.9,39.905367,32.804976,-89.1,61,1.3,53.7,-1.46,0.31,-1.73,14:01:14.633
55.7,861.0,-4.18,-0.62,-7.99,-6.7,916.1,39.905356,32.80494,-96.7,62,1.2,54.9,-2.87,7.2,-9.19,14:01:14.734
55.1,865.8,-0.64,1.63,-9.18,-6.9,914.9,39.905398,32.804962,-102.7,63,1.3,53.3,-7.21,-7.56,1.51,14:01:14.835
59.0,876.1,-0.92,-0.93,-11.1,-7.0,913.9,39.905341,32.804945,-103.0,64,1.0,57.5,3.23,-0.43,0.65,14:01:14.936
57.7,901.7,-1.41,-1.03,-10.06,-6.7,911.6,39.905382,32.804964,-94.4,65,0.7,56.7,3.86,-3.22,-8.54,14:01:15.036
58.1,904.5,7.16,0.06,-8.3,-7.0,910.3,39.905381,32.804995,-89.5,66,1.4,57.1,2.61,-10.82,1.8,14:01:15.137
57.9,922.6,-0.14,-2.74,-9.26,-6.6,909.5,39.9054,32.804992,-93.4,67,1.8,56.1,2.24,1.72,-10.31,14:01:15.238
58.0,956.6,1.77,-1.06,-11.19,-7.5,905.4,39.90536,32.804998,-88.6,68,0.6,57.2,2.64,11.88,-5.29,14:01:15.339
56.5,979.9,0.81,4.77,-9.29,-7.4,903.5,39.905381,32.80498,-85.7,69,0.7,57.0,-3.11,-5.57,-2.82,14:01:15.440
61.8,969.3,-2.41,-1.75,-11.01,-7.7,904.1,39.905359,32.805009,-95.7,70,0.7,61.9,-1.12,2.47,-0.83,14:01:15.541
61.7,984.4,0.07,0.04,-12.05,-7.8,903.3,39.905375,32.804971,-102.2,71,0.7,61.9,3.08,4.89,-1.63,14:01:15.642
64.7,1000.5,1.65,1.85,-10.19,-7.4,900.6,39.905359,32.805002,-85.4,72,0.9,65.4,0.81,0.87,-0.76,14:01:15.748
64.0,999.9,-1.13,2.67,-10.06,-7.5,900.3,39.905383,32.804984,-98.5,73,1.8,63.2,-2.87,-0.61,2.01,14:01:15.849
65.6,1040.4,-2.17,2.79,-11.1,-7.8,896.7,39.905362,32.805023,-99.4,74,0.6,65.6,10.96,-3.91,-6.78,14:01:15.950
62.7,1050.6,4.3,2.61,-9.97,-7.5,895.1,39.905388,32.804977,-99.2,75,0.3,63.5,3.63,-3.97,-6.81,14:01:16.050
66.2,1061.3,-4.78,0.34,-9.3,-8.3,894.4,39.905342,32.804968,-87.2,76,1.3,65.2,2.06,2.61,0.38,14:01:16.151
64.9,1066.8,4.54,-3.22,-10.83,-8.3,893.9,39.905384,32.804954,-85.4,77,0.4,65.5,0.22,-5.77,-0.73,14:01:16.252
71.1,1060.4,-1.36,0.63,-8.57,-8.1,894.3,39.905402,32.805,-102.0,78,0.4,69.6,-3.04,-3.21,-2.37,14:01:16.353
68.5,1074.6,-4.02,-1.32,-9.51,-7.7,892.3,39.905369,32.804964,-85.9,79,1.5,67.8,-2.45,8.56,-0.24,14:01:16.454
72.8,1108.7,0.13,-3.56,-10.9,-8.5,889.7,39.905335,32.80499,-97.7,80,0.6,72.0,1.33,-6.05,3.16,14:01:16.555
71.2,1117.4,1.75,-2.0,-11.33,-8.0,888.3,39.905381,32.805002,-102.2,81,1.4,72.1,-6.25,0.81,-1.84,14:01:16.656
72.9,1128.1,-3.43,-2.73,-8.12,-8.2,887.1,39.905382,32.804986,-93.1,82,1.4,72.2,-3.25,-2.59,-0.7,14:01:16.757
75.6,1141.4,1.63,-0.82,-10.09,-8.2,885.9,39.905411,32.804985,-88.7,83,1.8,77.0,-6.33,3.99,-5.31,14:01:16.858
73.9,1151.1,3.0,3.66,-11.06,-8.2,885.5,39.905384,32.804995,-88.5,84,1.2,73.4,0.77,-6.96,0.59,14:01:16.958
71.1,1151.9,1.64,1.41,-8.76,-8.3,884.9,39.905385,32.804949,-103.7,85,1.0,70.5,2.53,-2.95,-3.57,14:01:17.059
73.5,1172.8,1.1,0.14,-10.6,-8.6,883.8,39.905403,32.804978,-102.0,86,1.9,74.6,0.05,1.84,3.01,14:01:17.159
74.8,1206.0,6.23,-0.64,-11.13,-8.6,878.8,39.905386,32.804987,-85.9,87,0.5,75.5,-4.17,6.56,3.38,14:01:17.260
75.1,1216.1,1.21,-4.65,-9.28,-8.8,878.6,39.905394,32.805006,-93.7,88,0.7,74.0,-7.85,1.86,1.72,14:01:17.361
75.0,1218.3,2.14,-1.99,-7.73,-8.7,877.9,39.905387,32.805004,-86.8,89,0.6,73.1,2.23,3.87,-4.53,14:01:17.461
76.3,1240.8,0.04,-1.9,-10.09,-8.4,875.4,39.90541,32.805,-104.5,90,1.4,77.1,4.19,1.93,-0.21,14:01:17.562
78.9,1250.9,1.12,1.68,-9.78,-8.7,874.3,39.905373,32.80498,-99.0,91,1.2,78.9,-8.39,3.91,-4.31,14:01:17.662
81.0,1254.7,-0.11,3.47,-8.1,-9.0,874.2,39.905364,32.804961,-85.2,92,0.4,81.0,-0.71,-3.7,-7.87,14:01:17.763
81.6,1280.5,2.0,-1.78,-9.74,-9.0,871.2,39.905394,32.804965,-103.8,93,0.0,80.0,-5.87,-2.77,-6.14,14:01:17.864
80.6,1287.6,-2.55,-0.47,-10.15,-9.3,870.0,39.905392,32.804979,-90.6,94,1.2,80.4,2.69,9.21,-7.01,14:01:17.965
81.1,1309.1,-2.31,2.32,-12.61,-9.0,869.1,39.905407,32.804975,-102.5,95,0.0,80.3,-2.02,5.4,0.43,14:01:18.065
80.5,1313.4,-0.26,-1.32,-8.2,-9.7,868.4,39.905406,32.804997,-95.1,96,0.9,79.0,-10.23,11.35,-3.26,14:01:18.166
82.2,1329.2,2.57,0.55,-6.21,-9.7,866.7,39.905354,32.804988,-92.2,97,1.1,83.1,-5.28,0.56,-5.55,14:01:18.267
81.6,1320.0,1.89,2.28,-9.34,-9.7,867.3,39.905382,32.804969,-87.1,98,1.0,80.8,-1.03,-1.1,1.45,14:01:18.368
83.5,1352.5,-1.83,-0.81,-8.29,-10.1,864.5,39.905442,32.805016,-93.9,99,0.7,82.9,1.07,-0.59,3.52,14:01:18.468
85.4,1349.4,-3.75,2.5,-9.97,-9.4,865.0,39.905406,32.805002,-87.2,100,1.4,84.4,1.19,2.73,-6.15,14:01:18.569
84.6,1359.0,2.68,-1.54,-10.42,-9.8,863.6,39.905436,32.805007,-99.0,101,1.3,83.4,0.49,-3.99,-2.54,14:01:18.670
