velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp
27.3,416.4,2.27,-1.6,-8.56,-4.2,965.4,39.905331,32.804956,-100.9,29,0.9,27.2,-7.18,-2.94,-9.73,14:49:32.148
25.9,413.4,3.5,2.84,-9.78,-3.5,964.9,39.90533,32.804922,-103.0,30,1.9,26.0,-4.35,-6.01,4.41,14:49:32.249
28.3,426.6,0.21,7.79,-8.14,-4.0,963.9,39.905315,32.804931,-104.3,31,1.4,29.5,-0.68,11.47,1.99,14:49:32.349
30.1,450.1,4.02,2.53,-11.41,-4.4,961.2,39.905317,32.804941,-101.0,32,1.7,30.6,2.3,1.12,-9.59,14:49:32.450
29.1,461.4,-3.38,-6.85,-10.57,-4.3,960.3,39.905328,32.804945,-91.5,33,0.3,29.1,3.26,2.24,-0.76,14:49:32.551
27.8,491.1,-0.15,-0.64,-7.66,-4.8,956.2,39.905356,32.804934,-89.7,34,1.4,28.7,-4.04,-2.19,-2.19,14:49:32.651
31.0,494.5,-1.66,-1.78,-9.55,-4.2,956.0,39.905343,32.804938,-91.0,35,1.9,32.5,-5.97,-1.12,-1.87,14:49:32.752
32.7,516.7,-2.44,1.32,-9.51,-4.7,953.9,39.9053,32.804901,-89.6,36,1.1,31.7,-5.34,4.6,-4.0,14:49:32.853
34.0,502.3,1.69,-2.24,-9.46,-4.6,954.0,39.90529,32.804959,-100.7,37,1.4,32.6,1.91,4.46,-4.96,14:49:32.954
36.4,540.5,-2.49,-0.8,-7.62,-4.6,950.5,39.905373,32.804946,-89.9,38,0.9,38.6,-7.01,-5.14,3.17,14:49:33.055
38.5,548.7,2.4,1.59,-11.5,-5.4,949.3,39.905318,32.804973,-92.1,39,1.9,39.1,0.58,2.16,-16.77,14:49:33.155
36.1,566.0,1.73,-0.89,-8.47,-4.1,947.8,39.905336,32.804963,-99.5,40,1.7,34.0,4.84,-3.78,8.38,14:49:33.256
35.2,575.7,-1.61,1.11,-9.28,-5.2,947.2,39.905335,32.804918,-86.9,41,1.2,36.1,0.08,7.61,0.11,14:49:33.357
37.4,580.0,2.67,-2.8,-9.6,-4.3,946.6,39.905384,32.804919,-88.8,42,1.2,37.8,-0.42,2.62,0.63,14:49:33.457
38.8,599.3,-0.67,-2.57,-11.05,-5.2,943.7,39.905345,32.804945,-87.9,43,1.8,39.8,3.39,3.45,-0.27,14:49:33.558
40.8,599.4,-3.26,-2.31,-10.05,-5.3,944.4,39.905343,32.804929,-89.5,44,0.5,40.0,-3.99,-4.69,1.12,14:49:33.659
44.3,622.8,2.97,1.53,-8.4,-5.1,941.8,39.90531,32.804946,-91.4,45,0.1,45.2,-5.25,9.55,4.32,14:49:33.759
39.2,643.1,4.76,3.47,-10.72,-5.1,939.5,39.905349,32.804962,-87.3,46,0.8,39.6,3.93,3.25,-5.91,14:49:33.860
39.6,638.5,-0.18,-4.92,-9.31,-5.0,939.9,39.905367,32.804938,-101.1,46,0.8,39.3,-2.64,-2.47,-2.65,14:49:33.961
40.6,676.7,-1.48,-0.58,-7.05,-5.9,935.3,39.905318,32.804938,-102.0,47,0.6,39.4,-2.18,-4.07,4.39,14:49:34.061
43.3,681.7,-1.94,2.48,-10.0,-5.5,934.8,39.905372,32.804923,-95.8,48,0.8,42.2,-1.81,2.28,5.06,14:49:34.162
41.9,690.5,1.08,0.4,-8.31,-5.4,933.6,39.905359,32.80497,-104.0,49,0.9,42.4,3.18,2.83,4.42,14:49:34.263
46.0,703.0,-0.98,-2.83,-10.75,-6.0,932.6,39.905362,32.804924,-88.0,50,0.7,45.4,8.8,7.25,0.39,14:49:34.363
45.5,727.2,0.79,-3.47,-10.0,-5.7,930.1,39.905366,32.804974,-90.7,51,1.2,45.2,-0.25,-0.92,1.1,14:49:34.464
44.5,740.1,4.28,0.63,-10.6,-5.8,928.7,39.905364,32.804932,-100.3,52,0.4,44.5,-11.76,2.9,0.36,14:49:34.565
45.2,734.3,2.1,-2.03,-9.12,-5.8,929.3,39.905367,32.804964,-90.5,53,1.4,45.2,-9.88,-0.93,2.75,14:49:34.666
48.2,738.8,3.72,-3.11,-8.25,-5.7,929.5,39.905371,32.80492,-96.7,54,0.8,48.7,-8.53,2.54,-5.05,14:49:34.767
52.6,782.7,-6.13,2.61,-9.68,-6.6,924.1,39.905342,32.804967,-96.2,55,1.7,52.3,-11.02,4.81,-2.93,14:49:34.867
48.2,789.5,0.27,-1.83,-10.17,-5.7,923.6,39.905359,32.804949,-104.6,56,0.3,47.2,-2.34,6.77,5.15,14:49:34.968
50.3,801.1,2.17,-5.59,-8.32,-6.3,922.1,39.905363,32.804963,-97.3,57,1.9,48.6,-6.52,3.47,6.36,14:49:35.069
52.2,826.3,-3.22,-3.3,-10.89,-6.6,919.3,39.905365,32.804982,-90.0,58,1.1,52.4,4.95,1.87,3.74,14:49:35.170
51.6,818.6,-0.26,-0.02,-11.79,-6.3,920.6,39.905359,32.804947,-95.6,59,1.8,52.1,-2.28,-5.76,-7.38,14:49:35.271
53.0,848.0,1.82,3.05,-8.52,-6.4,917.1,39.905377,32.804924,-94.3,60,1.8,52.2,3.85,-1.57,6.42,14:49:35.372
57.0,859.5,4.96,2.54,-8.91,-7.0,915.8,39.90536,32.804987,-95.5,61,2.0,56.3,-4.74,-5.17,5.17,14:49:35.472
56.4,869.0,-0.05,-2.3,-10.2,-6.6,914.7,39.905361,32.804968,-90.5,62,0.3,56.5,-6.54,-0.3,-4.92,14:49:35.573
56.3,864.8,-4.73,3.2,-8.33,-6.7,915.3,39.905334,32.804943,-96.2,63,0.3,57.5,3.82,-0.44,-3.04,14:49:35.674
56.7,908.6,-1.42,4.99,-8.51,-7.6,910.7,39.905339,32.804955,-93.6,64,0.5,55.9,-3.13,-1.97,1.81,14:49:35.774
61.4,893.2,1.22,0.12,-8.64,-7.0,911.7,39.905391,32.804981,-91.9,65,1.0,61.4,7.29,-6.6,-4.9,14:49:35.875
60.3,928.1,0.37,3.35,-9.25,-7.0,908.5,39.905356,32.804961,-93.4,66,0.1,58.2,-1.8,6.95,2.63,14:49:35.975
60.0,931.1,-2.49,-3.32,-10.07,-6.8,908.0,39.905378,32.804974,-88.5,67,1.1,61.5,11.43,2.68,2.74,14:49:36.076
57.0,946.5,0.29,-0.74,-10.32,-7.7,906.0,39.905362,32.804972,-98.0,68,0.2,57.2,4.7,-3.55,6.28,14:49:36.177
61.4,950.5,-2.35,-0.95,-9.58,-7.1,906.4,39.905387,32.805021,-105.0,69,0.3,61.0,-0.87,7.61,-3.88,14:49:36.278
62.3,968.9,-4.23,-0.67,-9.23,-7.1,903.8,39.905383,32.804978,-102.1,70,1.3,63.4,-3.11,5.75,6.24,14:49:36.378
66.2,1003.3,-0.77,-3.35,-10.74,-6.7,900.4,39.905381,32.804967,-88.7,71,1.6,65.6,-3.7,7.92,8.18,14:49:36.479
65.6,987.5,0.77,2.69,-9.44,-7.5,902.1,39.905381,32.804943,-86.2,72,1.1,65.0,-1.45,1.78,1.95,14:49:36.580
65.4,1020.6,3.54,4.05,-10.25,-7.5,899.1,39.905381,32.804949,-97.8,73,0.1,66.1,-0.47,5.11,-0.56,14:49:36.680
63.2,1022.3,3.89,-0.72,-8.77,-7.7,897.9,39.905338,32.80499,-91.1,74,0.8,61.8,0.72,5.68,-1.3,14:49:36.781
67.1,1038.5,-1.23,2.33,-13.42,-7.8,897.0,39.905391,32.804975,-89.8,75,0.7,66.5,6.57,11.61,-1.42,14:49:36.881
63.8,1066.7,-2.23,3.12,-9.89,-8.4,894.1,39.905386,32.805007,-100.3,76,1.1,64.8,-4.64,10.58,3.25,14:49:36.982
70.3,1051.5,-1.52,0.76,-10.16,-7.7,895.5,39.905379,32.804986,-101.0,77,0.1,71.6,-8.17,5.28,6.75,14:49:37.083
69.5,1078.7,2.08,-1.2,-9.89,-8.1,892.7,39.905357,32.804984,-104.7,78,0.7,70.1,4.02,-3.09,-2.33,14:49:37.184
66.9,1099.0,-0.9,-0.43,-10.88,-8.3,889.9,39.905373,32.805002,-94.3,79,1.8,66.2,-14.9,-3.94,-15.56,14:49:37.284
69.3,1113.7,-0.18,-2.56,-11.46,-8.7,889.0,39.905366,32.805008,-91.1,80,1.1,69.9,-2.01,-2.58,6.58,14:49:37.385
73.0,1119.8,1.38,3.84,-8.37,-8.6,888.1,39.905395,32.805015,-92.1,81,0.6,73.3,12.0,-0.47,1.67,14:49:37.486
69.1,1135.3,-2.47,3.36,-10.17,-8.7,886.0,39.905387,32.805029,-99.6,82,0.2,68.6,6.23,3.06,6.18,14:49:37.587
74.8,1141.2,0.81,1.7,-8.89,-8.3,885.4,39.9054,32.80497,-90.5,83,0.3,73.7,-0.88,-2.48,5.74,14:49:37.687
74.1,1154.3,4.72,3.16,-11.94,-8.7,885.0,39.905345,32.804991,-101.7,84,0.4,74.4,-2.87,1.18,2.19,14:49:37.788
73.7,1169.5,0.39,-2.94,-10.38,-8.8,883.2,39.905387,32.804926,-91.9,85,0.8,72.2,-2.09,-0.73,-3.67,14:49:37.889
74.6,1183.3,5.18,-0.29,-10.03,-8.7,880.7,39.905366,32.804957,-92.0,86,1.2,74.4,0.28,1.92,3.24,14:49:37.990
75.0,1199.2,-2.76,-2.52,-12.28,-8.5,879.5,39.905376,32.804974,-94.1,87,0.2,74.4,-4.06,2.05,-4.38,14:49:38.091
76.3,1210.1,0.81,1.04,-8.69,-8.5,879.2,39.90542,32.804972,-88.7,88,1.0,77.3,-5.98,10.83,-0.95,14:49:38.192
73.8,1230.2,-1.53,-6.58,-9.21,-9.0,876.9,39.905412,32.804982,-93.4,89,0.8,73.2,-1.43,-4.06,-7.55,14:49:38.292
81.1,1244.4,-4.6,1.37,-10.68,-9.3,875.5,39.905418,32.805017,-102.8,90,1.0,81.0,-6.02,4.26,5.26,14:49:38.393
81.9,1230.2,3.49,-0.49,-10.19,-9.0,876.7,39.905361,32.804975,-89.0,91,0.5,80.9,4.74,3.13,2.38,14:49:38.494
75.6,1261.2,4.05,3.81,-9.84,-8.7,872.9,39.905392,32.804994,-101.3,92,1.8,75.4,0.57,3.04,3.04,14:49:38.594
78.4,1275.6,0.53,-1.28,-10.42,-9.0,872.2,39.905401,32.804993,-89.9,93,1.4,78.2,-0.06,-3.3,-10.7,14:49:38.695
83.0,1284.7,-5.25,-2.93,-7.67,-9.2,870.4,39.905393,32.804976,-86.8,94,1.7,83.6,7.08,5.35,-3.3,14:49:38.797
82.6,1302.9,-1.38,3.05,-10.82,-9.0,868.5,39.90541,32.804986,-102.4,95,1.4,83.4,3.41,4.92,-7.81,14:49:38.898
81.3,1300.4,-0.82,0.04,-10.97,-8.9,869.4,39.905384,32.804988,-99.3,96,0.9,80.4,1.27,-3.86,8.17,14:49:38.998
82.3,1322.7,0.64,-1.2,-9.49,-9.5,866.9,39.905388,32.804998,-89.2,97,0.8,81.5,-6.96,0.5,6.84,14:49:39.099
81.7,1313.1,-0.69,-0.14,-9.01,-9.1,868.8,39.905402,32.804985,-87.9,98,0.4,81.0,-7.48,-0.55,0.82,14:49:39.200
84.0,1326.5,4.51,1.78,-10.07,-9.2,866.5,39.905394,32.804978,-85.0,99,1.5,83.6,-0.77,-5.67,3.92,14:49:39.301
86.9,1364.7,-2.63,4.18,-8.53,-9.3,863.8,39.905394,32.804988,-90.7,100,1.6,87.6,-1.26,6.37,0.57,14:49:39.402
85.9,1372.0,1.43,-1.17,-9.95,-9.7,862.9,39.905406,32.805011,-102.7,101,0.2,82.9,5.98,-5.15,3.22,14:49:39.503
84.7,1371.9,-2.62,-8.52,-9.21,-9.8,862.3,39.905393,32.805051,-87.5,102,1.7,83.8,2.99,-2.66,-7.64,14:49:39.603
87.5,1381.5,-0.41,1.12,-10.41,-9.6,861.3,39.905361,32.80499,-102.0,103,1.4,87.6,-6.13,-10.62,-5.76,14:49:39.704
87.9,1388.6,-1.72,-3.55,-9.64,-10.3,860.4,39.905411,32.804996,-102.5,104,0.2,86.7,10.45,-3.31,-3.66,14:49:39.804
90.1,1413.8,-3.0,0.23,-8.29,-10.0,858.7,39.905432,32.805021,-86.6,105,0.3,88.4,0.11,1.35,-4.24,14:49:39.905
90.9,1428.4,-4.93,-0.91,-9.1,-9.8,856.0,39.905411,32.805015,-91.6,106,1.4,89.5,-4.25,0.66,3.86,14:49:40.006
91.0,1442.6,3.0,-1.61,-9.75,-10.4,854.9,39.905411,32.805039,-85.0,107,0.1,90.7,1.02,-1.14,-4.6,14:49:40.106
92.0,1441.1,-2.61,1.22,-11.73,-10.3,855.2,39.905373,32.805002,-97.0,108,0.3,92.3,2.68,-2.01,-2.6,14:49:40.207
92.6,1470.9,-2.02,-2.18,-11.34,-10.3,852.5,39.905427,32.805003,-92.5,109,1.8,93.2,11.52,-2.55,2.05,14:49:40.308
92.3,1482.1,1.7,0.3,-9.22,-10.7,851.5,39.90543,32.805007,-101.2,110,1.9,93.5,1.79,-3.07,4.76,14:49:40.409
94.0,1475.3,0.08,0.32,-10.77,-10.6,851.5,39.90542,32.805003,-100.8,111,1.0,93.3,-5.82,2.89,-2.21,14:49:40.509
95.4,1486.7,2.5,-0.66,-10.47,-10.6,850.8,39.905421,32.80499,-87.4,112,2.0,95.7,2.8,-8.14,5.97,14:49:40.610
94.6,1514.4,-0.27,-3.48,-8.64,-10.7,848.8,39.90542,32.805005,-89.9,113,1.5,92.8,9.15,-5.8,-5.64,14:49:40.712
94.0,1518.3,0.5,1.62,-10.09,-10.2,847.5,39.905389,32.805055,-102.3,114,0.2,93.3,9.29,-1.05,-3.24,14:49:40.813
98.2,1523.2,1.96,-2.61,-8.52,-10.6,847.6,39.905403,32.80499,-93.5,115,0.8,97.8,1.2,-12.35,4.15,14:49:40.914
97.6,1551.0,-0.34,2.82,-10.53,-10.9,843.6,39.905425,32.805043,-99.0,116,0.8,97.1,5.87,-2.13,0.17,14:49:41.014
98.6,1551.0,-0.63,4.0,-8.22,-10.9,843.9,39.905408,32.805012,-91.8,117,0.3,98.8,-1.35,6.25,13.25,14:49:41.115
99.8,1572.1,-1.47,-1.89,-10.31,-10.9,842.8,39.90543,32.805026,-97.6,118,1.8,101.1,-1.82,-3.19,-8.8,14:49:41.215
100.4,1583.9,0.98,-0.63,-9.42,-11.0,840.8,39.905429,32.805038,-102.3,119,1.3,98.9,0.84,9.08,5.75,14:49:41.317
101.0,1596.4,-2.03,0.48,-8.77,-11.4,839.8,39.905413,32.805,-89.6,120,1.9,101.7,3.34,-6.59,-0.74,14:49:41.417
101.6,1607.5,5.08,0.56,-10.12,-11.7,838.9,39.905427,32.805036,-91.5,121,1.7,101.9,-0.97,1.12,7.33,14:49:41.518
97.9,1620.1,2.38,2.96,-11.72,-11.4,836.6,39.905452,32.805012,-101.5,122,1.5,97.8,2.56,3.74,-5.32,14:49:41.619
99.6,1623.2,0.29,-0.56,-9.44,-11.3,836.7,39.905416,32.804993,-92.7,123,0.7,99.3,4.66,-1.35,7.26,14:49:41.719
103.1,1637.7,1.88,-1.15,-9.08,-11.1,835.9,39.905435,32.805027,-90.3,124,1.3,102.4,-6.53,1.69,-8.74,14:49:41.820
101.6,1641.2,1.19,-5.1,-10.29,-11.3,835.0,39.9054,32.80501,-96.3,125,1.6,101.8,-2.06,1.46,1.45,14:49:41.920
103.4,1632.0,0.41,-1.82,-12.83,-11.4,836.5,39.905418,32.805025,-88.4,126,0.3,103.8,-13.41,-3.68,-1.85,14:49:42.021
102.5,1676.9,-1.46,1.79,-10.82,-11.7,831.6,39.905409,32.804986,-99.7,127,1.5,100.7,0.1,-5.13,-2.36,14:49:42.123
104.7,1684.8,-2.59,1.97,-9.55,-11.6,832.1,39.905448,32.805029,-94.8,128,1.9,104.2,-1.37,-8.1,10.75,14:49:42.223
105.4,1707.1,1.34,0.8,-10.11,-11.7,828.9,39.905426,32.805028,-93.9,129,1.6,106.0,1.29,-5.07,3.05,14:49:42.324
104.9,1699.6,-0.04,-0.03,-10.4,-11.7,828.9,39.905434,32.805032,-101.6,130,1.3,105.2,-4.63,9.57,-7.21,14:49:42.425
105.8,1728.2,0.88,-0.59,-8.75,-12.5,827.4,39.905438,32.805035,-95.6,131,1.4,106.0,2.46,-1.35,-3.32,14:49:42.525
105.7,1728.1,1.62,3.91,-8.1,-11.6,826.5,39.905454,32.805032,-98.0,132,0.4,105.5,0.59,-7.66,8.09,14:49:42.626
102.7,1736.9,0.21,-0.74,-9.65,-11.8,825.8,39.905479,32.805061,-91.5,133,0.2,102.4,4.53,-1.01,-2.55,14:49:42.727
106.6,1763.2,3.62,-1.28,-11.2,-12.7,823.8,39.905442,32.805005,-99.9,134,0.3,105.7,-3.44,7.17,2.38,14:49:42.828
107.8,1789.9,-0.32,1.33,-8.18,-12.5,820.7,39.905406,32.805031,-90.8,135,0.4,108.2,-5.54,10.18,-2.44,14:49:42.929
107.5,1766.9,-0.33,1.1,-12.27,-11.8,823.4,39.905444,32.805019,-103.9,136,1.8,104.4,4.85,1.05,-1.72,14:49:43.030
111.7,1791.0,-4.66,-2.54,-9.78,-11.9,821.5,39.905418,32.805044,-86.3,137,1.0,108.7,-0.39,4.44,4.32,14:49:43.130
111.9,1797.0,-0.65,2.33,-9.68,-12.3,820.0,39.905438,32.805029,-96.1,138,0.9,110.9,-3.63,-2.07,-2.18,14:49:43.231
110.8,1810.6,-0.13,-1.81,-9.88,-12.0,818.3,39.905442,32.805061,-104.1,139,1.7,110.6,-0.86,-0.32,-8.24,14:49:43.331
111.7,1816.0,-0.05,3.56,-10.57,-12.7,818.2,39.905454,32.805051,-89.6,140,1.0,111.2,-6.32,0.01,-4.94,14:49:43.432
110.7,1808.1,5.73,2.6,-11.18,-12.1,818.9,39.905465,32.805044,-89.4,141,1.5,111.6,-0.71,2.79,2.13,14:49:43.533
111.7,1826.8,1.27,2.32,-10.92,-12.4,817.5,39.905401,32.805,-101.2,142,1.5,110.3,-3.35,-1.11,-5.95,14:49:43.634
114.5,1871.4,-1.07,-0.65,-9.14,-13.0,813.0,39.905452,32.805036,-95.4,143,0.7,114.7,4.65,2.86,-7.5,14:49:43.735
114.9,1854.4,-0.05,3.69,-9.86,-13.0,815.2,39.905489,32.805046,-88.4,144,1.1,114.5,3.49,3.55,-1.56,14:49:43.835
116.2,1863.7,2.43,0.77,-12.32,-12.7,813.9,39.905426,32.805004,-94.1,145,1.0,115.8,-5.86,10.52,-6.13,14:49:43.936
113.2,1880.1,4.75,0.77,-9.59,-13.0,812.1,39.905444,32.80506,-89.2,146,0.2,113.8,-2.45,-1.67,4.56,14:49:44.037
116.2,1897.0,-4.83,-1.11,-10.45,-13.4,810.0,39.905465,32.805072,-91.7,147,1.6,116.5,-4.15,-11.21,0.77,14:49:44.138
116.4,1906.2,-2.35,-2.38,-12.05,-13.1,809.9,39.905445,32.805079,-98.5,148,0.9,116.9,0.48,-8.89,1.81,14:49:44.238
115.3,1911.4,1.92,5.15,-8.76,-12.7,809.0,39.90543,32.805055,-96.0,149,1.3,113.3,2.65,-10.84,-2.94,14:49:44.339
114.6,1930.8,-0.32,-1.26,-9.01,-13.2,808.3,39.905431,32.805035,-86.2,150,1.8,114.2,0.92,-4.44,-4.72,14:49:44.440
124.3,1928.0,-2.95,0.53,-7.53,-12.6,807.8,39.905484,32.805027,-99.9,151,0.9,123.4,-10.09,8.91,-0.68,14:49:44.540
123.3,1924.5,4.37,2.64,-9.17,-13.0,807.2,39.905427,32.805036,-99.6,152,0.9,123.6,13.12,0.17,-7.42,14:49:44.641
119.4,1959.3,-0.11,0.78,-8.82,-13.3,804.0,39.905445,32.805061,-88.0,153,0.4,121.1,-8.16,8.69,0.88,14:49:44.742
117.3,1951.9,4.88,-1.07,-9.96,-13.8,804.2,39.905457,32.805043,-88.3,154,1.7,116.5,5.18,-4.07,3.17,14:49:44.843
125.0,1963.8,-0.23,-2.04,-9.9,-13.2,803.4,39.905434,32.80507,-86.6,155,0.1,124.7,-1.95,-1.66,-1.77,14:49:44.944
123.5,1982.2,-1.49,2.6,-8.53,-13.6,802.4,39.905419,32.805045,-100.8,156,0.2,123.1,-1.49,2.35,15.01,14:49:45.044
120.6,1997.3,-2.61,-0.75,-9.56,-13.1,800.8,39.905471,32.805058,-99.9,157,0.3,121.3,5.04,-2.22,10.71,14:49:45.145
122.0,2010.6,-0.78,1.63,-10.03,-13.0,800.5,39.905454,32.80504,-98.9,158,0.6,122.5,-0.53,-2.17,-6.69,14:49:45.246
122.1,2022.5,-2.57,1.36,-9.52,-13.7,798.4,39.905449,32.805072,-103.5,159,1.6,120.4,2.64,4.32,1.72,14:49:45.346
125.4,2009.5,-7.76,1.48,-9.9,-13.1,800.1,39.905424,32.805107,-87.3,160,0.6,124.3,2.75,8.8,-12.79,14:49:45.447
124.5,2030.1,2.46,-0.4,-11.21,-13.8,797.4,39.905482,32.805058,-98.0,161,2.0,123.4,-3.97,-8.82,0.12,14:49:45.548
120.5,2043.0,0.79,1.3,-10.44,-13.6,796.9,39.905501,32.805066,-87.6,162,0.8,120.0,6.19,-4.19,3.52,14:49:45.649
123.8,2048.9,-5.44,0.03,-10.7,-13.7,796.7,39.905481,32.805064,-92.0,163,0.0,122.6,-0.39,6.22,2.02,14:49:45.749
129.1,2054.2,-0.73,-0.69,-10.99,-13.6,796.5,39.905478,32.805043,-101.7,164,1.6,129.3,3.73,-3.45,7.9,14:49:45.850
126.8,2053.4,2.26,3.49,-8.43,-14.0,795.5,39.905423,32.805073,-96.7,165,0.4,128.4,-4.81,1.16,-3.33,14:49:45.951
126.3,2088.5,1.62,2.54,-10.04,-14.1,793.1,39.905429,32.805113,-87.7,166,0.3,125.5,6.81,-2.65,-1.5,14:49:46.052
123.7,2088.7,0.92,-3.98,-9.96,-14.4,792.8,39.905486,32.805086,-89.7,167,1.6,121.9,-5.56,-2.71,-3.11,14:49:46.153
126.5,2103.9,2.54,0.3,-10.05,-13.9,792.0,39.905477,32.805077,-104.9,168,1.2,125.4,-4.01,-3.56,5.0,14:49:46.254
126.9,2103.7,-1.49,-1.05,-8.58,-14.0,791.2,39.905455,32.805052,-103.4,169,1.1,126.5,-3.96,-0.75,-0.95,14:49:46.355
127.8,2109.9,-1.77,-0.88,-9.31,-14.2,791.7,39.905469,32.805056,-88.4,170,0.4,125.5,1.55,-8.53,9.18,14:49:46.455
129.6,2130.4,0.72,-3.48,-9.6,-14.3,788.0,39.905457,32.805059,-99.3,171,1.5,129.5,-0.67,4.34,2.83,14:49:46.556
129.2,2126.6,0.08,1.21,-10.05,-14.3,788.0,39.905484,32.805046,-91.1,172,1.1,128.5,-0.9,-1.68,-2.08,14:49:46.657
128.0,2138.4,0.38,-0.05,-9.59,-14.2,788.0,39.905477,32.805073,-93.4,173,1.5,128.0,-1.57,-2.73,6.32,14:49:46.758
130.1,2133.7,6.02,2.68,-10.45,-13.9,787.8,39.905452,32.805069,-99.3,174,0.3,128.4,-0.61,-2.82,-3.14,14:49:46.858
129.3,2163.6,4.35,0.96,-9.73,-15.3,786.4,39.905472,32.805056,-97.8,175,1.1,128.6,6.29,-3.0,-3.51,14:49:46.959
