velocity,altitude,accel_x,accel_y,accel_z,temperature,pressure,latitude,longitude,sinyal_gücü,paket_no,paket_kaybi,vertical_velocity,gyro_x,gyro_y,gyro_z,timestamp,altitude_raw,altitude_kalman,velocity_raw,velocity_kalman,vertical_velocity_raw,vertical_velocity_kalman
0.0,0.0,0.8,0.02,-10.16,-1.6,1014.1,39.984344,32.883967,-93.9,79064,0.1,0.1,-1.93,-0.08,5.63,12:58:24.797,0,0.0,0,0.0,-0.8,0.1
11.8,0.0,3.54,-1.79,-9.46,-1.7,1013.4,39.985708,32.885333,-92.7,80418,0.3,8.7,2.04,-0.31,-2.98,12:58:24.847,0,0.0,4.9,11.8,5.0,8.7
0.0,0.0,-0.09,0.06,-9.38,-1.9,1014.0,39.986904,32.886537,-93.4,81602,1.6,-0.4,-2.03,-5.14,-1.07,12:58:24.897,0,0.0,0,0.0,0.3,-0.4
50.8,0.0,-0.7,-0.44,-10.82,-1.2,1012.4,39.987908,32.887528,-100.3,82619,0.5,51.8,5.3,-2.97,-7.43,12:58:24.946,0,0.0,53.5,50.8,53.2,51.8
52.4,0.0,0.69,1.51,-10.41,-1.4,1013.7,39.989202,32.888841,-93.1,83899,0.9,50.9,-3.83,-3.97,0.43,12:58:24.999,0,0.0,50.6,52.4,50.5,50.9
0.0,0.0,0.7,2.07,-12.28,-1.5,1013.3,39.990501,32.890143,-91.8,85211,1.1,0.1,-1.8,1.4,2.35,12:58:25.047,0,0.0,0,0.0,-1.5,0.1
133.0,0.0,-2.53,-2.6,-9.77,-1.4,1014.4,39.991588,32.891151,-102.8,86264,1.8,135.7,2.73,-0.01,0.22,12:58:25.112,0,0.0,138.6,133.0,138.4,135.7
0.0,0.0,2.22,-1.09,-11.66,-1.5,1012.9,39.992699,32.892314,-95.5,87425,0.7,-0.4,-4.86,-7.02,1.41,12:58:25.163,0,0.0,0,0.0,-0.3,-0.4
0.0,0.0,2.61,-0.72,-11.72,-1.8,1014.0,39.993983,32.893584,-85.8,88685,0.1,0.0,1.83,-7.33,3.58,12:58:25.213,0,0.0,0,0.0,-0.3,0.0
53.7,0.0,-0.13,1.47,-10.17,-1.1,1013.4,39.995237,32.8949,-93.2,89945,1.9,55.6,-1.48,-1.48,-0.95,12:58:25.264,0,0.0,55.0,53.7,54.9,55.6
0.0,0.0,2.82,4.44,-9.44,-1.2,1013.4,39.996498,32.896081,-92.4,91189,1.7,0.3,13.54,1.21,1.23,12:58:25.313,0,0.0,0,0.0,1.0,0.3
116.6,0.0,3.85,-0.83,-8.6,-1.5,1013.6,39.998122,32.89776,-86.1,92850,0.9,113.5,-7.36,4.24,-6.78,12:58:25.378,0,0.0,111.5,116.6,110.6,113.5
0.0,0.0,1.22,-0.06,-10.49,-1.6,1013.2,39.999324,32.898961,-99.4,94066,1.0,-0.4,3.69,0.76,0.62,12:58:25.429,0,0.0,0,0.0,-0.3,-0.4
36.9,0.0,-3.81,-1.66,-8.49,-1.2,1013.2,40.000416,32.900014,-104.4,95149,0.1,37.6,-1.85,-4.0,2.63,12:58:25.479,0,0.0,38.4,36.9,37.4,37.6
75.5,0.0,0.74,-1.1,-7.45,-1.9,1012.7,40.001617,32.901237,-101.0,96316,0.8,75.8,-1.55,0.91,-0.28,12:58:25.530,0,0.0,76.8,75.5,77.2,75.8
0.0,0.0,4.72,-3.66,-9.07,-1.8,1014.0,40.003107,32.902735,-94.8,97808,1.5,-0.0,-6.42,-6.05,-1.26,12:58:25.580,0,0.0,0,0.0,0.2,-0.0
74.1,0.0,-0.65,-0.5,-10.25,-1.4,1012.8,40.004451,32.904092,-88.3,99188,1.5,70.6,3.11,-2.0,-3.17,12:58:25.646,0,0.0,67.0,74.1,67.1,70.6
0.0,0.0,-0.82,-1.86,-9.93,-1.7,1012.7,40.005579,32.905174,-88.6,100259,1.9,0.8,-6.03,1.42,-1.18,12:58:25.696,0,0.0,0,0.0,1.1,0.8
25.4,0.0,3.12,4.6,-8.14,-1.8,1014.4,40.006699,32.906277,-90.6,101402,0.4,26.9,-14.7,4.83,-5.71,12:58:25.745,0,0.0,28.0,25.4,26.7,26.9
73.0,0.0,2.06,1.85,-10.2,-1.4,1013.9,40.007853,32.907494,-104.3,102574,1.9,73.2,-6.85,3.08,7.71,12:58:25.796,0,0.0,72.6,73.0,71.0,73.2
0.0,0.0,1.23,2.86,-7.99,-1.2,1012.5,40.009248,32.908804,-101.4,103909,0.8,-0.1,-5.23,-7.13,3.97,12:58:25.847,0,0.0,0,0.0,-0.1,-0.1
0.2,76.5,-3.89,2.96,-12.02,-1.6,1007.9,40.010204,32.909835,-102.7,104927,0.1,-0.1,-10.37,-3.0,0.31,12:58:25.900,43.8,76.5,1.6,0.2,0.7,-0.1
0.0,2514.3,-1.24,-1.46,-11.93,-16.6,755.2,40.011291,32.910876,-94.1,105966,0.7,-0.1,-0.3,7.88,-8.56,12:58:25.951,2496.5,2514.3,0,0.0,0.5,-0.1
150.5,2745.6,1.09,-0.6,-9.0,-17.6,734.9,40.01243,32.912017,-96.6,107094,0.1,150.2,-6.12,2.01,1.0,12:58:26.003,2736.9,2745.6,151.3,150.5,152.7,150.2
0.0,2786.5,-2.83,4.23,-12.01,-18.0,732.5,40.013707,32.913307,-100.6,108407,0.2,0.3,-6.24,-2.33,0.47,12:58:26.062,2767.3,2786.5,0,0.0,0.8,0.3
144.3,2800.1,3.73,1.15,-10.31,-18.1,728.7,40.014973,32.914519,-88.5,109644,1.1,144.7,-2.58,-4.37,-2.81,12:58:26.113,2801.8,2800.1,146.6,144.3,147.6,144.7
0.0,2290.4,-0.16,-1.82,-11.25,-15.6,772.5,40.016112,32.915696,-96.4,110779,1.4,0.8,2.06,-4.4,-0.07,12:58:26.162,2309.9,2290.4,0,0.0,1.0,0.8
0.0,2116.0,-2.8,0.27,-11.27,-14.2,784.6,40.017348,32.916907,-87.0,112014,0.7,0.1,-1.28,-1.94,5.8,12:58:26.213,2164.0,2116.0,0,0.0,-1.3,0.1
69.8,1181.1,1.3,3.72,-10.58,-8.7,878.8,40.018513,32.918063,-97.6,113187,0.4,73.0,5.06,-4.83,-6.87,12:58:26.263,1216.0,1181.1,72.7,69.8,73.4,73.0
53.6,0.0,-0.65,3.35,-11.31,-1.8,1012.9,40.019578,32.919189,-100.7,114273,1.3,51.5,5.44,-1.83,1.55,12:58:26.313,0,0.0,51.6,53.6,51.9,51.5
0.0,0.0,0.94,-0.44,-9.59,-1.3,1013.5,40.020844,32.920367,-99.3,115502,1.9,0.1,7.5,0.23,0.71,12:58:26.364,0,0.0,0,0.0,0.4,0.1
0.0,2783.5,-1.33,-0.27,-9.76,-18.0,730.6,40.022497,32.92211,-104.6,117206,0.3,0.0,0.55,-1.1,-1.25,12:58:26.429,2780.7,2783.5,0,0.0,0.2,0.0
0.0,2188.3,3.17,-2.79,-9.31,-14.9,781.6,40.023588,32.923185,-93.3,118306,1.9,0.2,-1.31,5.48,1.34,12:58:26.479,2206.4,2188.3,0,0.0,0.8,0.2
42.4,746.3,-0.86,-0.46,-9.58,-6.6,923.7,40.024732,32.924362,-89.7,119437,0.6,46.4,3.45,-4.38,7.35,12:58:26.530,791.5,746.3,50.9,42.4,52.3,46.4
76.4,0.0,-1.97,4.86,-8.82,-1.1,1013.5,40.025777,32.925346,-104.5,120467,0.1,75.6,-0.01,-9.17,-3.69,12:58:26.580,0,0.0,79.0,76.4,80.0,75.6
114.1,2572.0,0.22,3.21,-8.7,-17.2,747.3,40.027414,32.927037,-87.1,122131,0.2,115.0,-5.55,1.21,-2.53,12:58:26.630,2588.9,2572.0,117.9,114.1,116.0,115.0
0.8,2087.0,-1.42,-4.8,-10.38,-14.1,790.4,40.028659,32.928225,-91.6,123321,1.5,0.2,3.78,-8.94,4.01,12:58:26.696,2114.6,2087.0,0,0.8,-1.1,0.2
48.1,0.0,0.15,2.52,-9.83,-1.2,1012.8,40.029628,32.929236,-92.1,124353,1.7,43.8,-3.35,1.67,-0.54,12:58:26.746,0,0.0,41.0,48.1,40.7,43.8
0.0,0.0,0.99,-0.29,-9.89,-1.7,1014.0,40.030902,32.930535,-102.0,125622,0.7,0.3,-3.7,8.18,0.12,12:58:26.797,0,0.0,0,0.0,0.9,0.3
0.0,2794.7,4.75,-0.41,-10.64,-18.5,728.0,40.032519,32.932125,-98.6,127221,0.3,-0.2,-2.02,-5.21,14.66,12:58:26.862,2809.0,2794.7,0,0.0,-1.3,-0.2
115.5,2600.6,-0.08,0.25,-9.69,-17.7,745.1,40.033719,32.933318,-85.1,128417,1.2,117.4,9.43,-3.56,0.02,12:58:26.913,2618.9,2600.6,118.6,115.5,117.9,117.4
0.0,2396.8,3.17,-0.76,-10.22,-16.3,761.3,40.034945,32.934548,-89.1,129641,0.1,-0.4,-2.21,-7.71,-1.02,12:58:26.963,2424.3,2396.8,0,0.0,-0.8,-0.4
87.8,0.0,1.27,2.89,-8.64,-1.8,1013.8,40.035882,32.935491,-97.9,130587,1.5,83.7,5.39,-4.28,-4.42,12:58:27.014,0,0.0,79.3,87.8,78.9,83.7
0.0,0.0,-2.14,-0.07,-8.62,-1.8,1013.0,40.036879,32.936469,-90.4,131600,1.2,0.0,-6.03,-5.22,-2.23,12:58:27.063,0,0.0,0,0.0,-1.1,0.0
0.0,0.0,-1.46,1.24,-9.7,-1.3,1012.9,40.038002,32.937577,-95.9,132687,0.5,0.3,-1.24,4.4,-10.99,12:58:27.118,0,0.0,0,0.0,-0.5,0.3
48.0,0.0,-2.28,-1.97,-8.52,-1.6,1013.6,40.039214,32.938811,-99.7,133918,0.7,49.5,-0.63,-3.88,0.2,12:58:27.163,0,0.0,52.9,48.0,52.1,49.5
119.6,1923.4,1.66,0.66,-9.17,-12.4,809.7,40.040265,32.939901,-95.7,134940,0.7,115.5,2.08,3.76,-6.05,12:58:27.229,1895.5,1923.4,113.6,119.6,112.1,115.5
0.0,2207.5,0.47,-1.41,-9.94,-14.4,783.3,40.041502,32.941058,-94.4,136167,0.6,0.2,8.72,-6.52,0.42,12:58:27.279,2185.0,2207.5,0,0.0,-0.4,0.2
0.0,2172.7,-2.63,0.06,-10.32,-14.4,785.2,40.042713,32.942315,-89.6,137427,0.1,-0.4,7.58,-3.96,-3.57,12:58:27.330,2158.1,2172.7,0,0.0,-1.4,-0.4
101.8,2343.7,-3.71,3.65,-11.51,-15.8,770.9,40.043951,32.943531,-88.7,138663,0.9,98.9,4.02,-1.54,4.15,12:58:27.380,2314.2,2343.7,98.5,101.8,96.9,98.9
0.0,2796.3,0.36,0.26,-9.75,-18.4,729.7,40.045108,32.944716,-91.4,139813,0.9,0.8,6.96,3.13,-1.74,12:58:27.430,2791.7,2796.3,0,0.0,0.6,0.8
0.0,0.0,2.52,-1.04,-10.09,-1.7,1013.8,40.046777,32.946346,-94.8,141443,1.9,-0.1,-1.57,7.31,-2.9,12:58:27.480,0,0.0,0,0.0,0.6,-0.1
62.6,0.0,0.54,2.81,-9.48,-1.4,1013.2,40.048034,32.947614,-103.4,142718,1.8,65.6,-4.7,7.53,-9.55,12:58:27.546,0,0.0,68.8,62.6,67.3,65.6
9.8,1203.1,1.22,3.2,-8.94,-8.6,882.3,40.049116,32.94869,-104.8,143799,1.2,10.1,-4.47,8.52,2.95,12:58:27.596,1171.7,1203.1,10.6,9.8,10.1,10.1
74.5,1930.7,2.08,-0.76,-8.92,-13.3,808.6,40.050262,32.949919,-104.8,144992,0.6,71.3,1.44,-0.86,-4.6,12:58:27.646,1915.8,1930.7,67.1,74.5,66.8,71.3
0.0,1893.1,1.09,1.14,-9.52,-13.0,814.5,40.051536,32.951158,-103.3,146253,0.8,-0.0,-9.88,-10.04,3.01,12:58:27.697,1868.6,1893.1,0,0.0,0.6,-0.0
0.0,0.0,0.95,4.13,-9.32,-1.3,1013.1,40.05309,32.952697,-101.9,147783,1.1,-0.4,1.09,-3.28,1.94,12:58:27.762,0,0.0,0,0.0,-0.9,-0.4
49.9,0.0,3.07,-2.89,-8.05,-1.6,1012.8,40.054256,32.953879,-103.4,148985,1.8,52.7,7.99,2.83,10.75,12:58:27.812,0,0.0,54.6,49.9,54.7,52.7
0.1,0.0,-0.97,3.2,-8.82,-1.5,1012.8,40.055513,32.955103,-88.4,150202,2.0,0.0,3.05,-4.72,1.52,12:58:27.862,0,0.0,0,0.1,0.0,0.0
51.8,1484.4,0.93,-0.04,-8.82,-10.2,854.1,40.056641,32.956204,-92.6,151316,1.3,49.3,-2.56,2.48,-0.96,12:58:27.913,1453.0,1484.4,47.0,51.8,47.7,49.3
0.0,2430.2,2.88,3.85,-10.35,-16.5,764.2,40.057772,32.957393,-87.4,152473,1.5,-0.1,5.53,-0.38,4.11,12:58:27.963,2401.5,2430.2,0,0.0,0.6,-0.1
24.7,302.0,1.83,1.37,-10.86,-3.4,982.6,40.059212,32.958833,-96.8,153919,1.7,20.7,0.29,-3.04,6.02,12:58:28.029,258.7,302.0,13.3,24.7,15.8,20.7
0.0,1902.9,0.25,2.82,-9.32,-13.1,812.8,40.06032,32.959941,-99.0,155048,1.4,0.2,1.58,3.05,-0.73,12:58:28.079,1868.5,1902.9,0,0.0,1.3,0.2
1.8,1851.1,2.39,1.35,-9.2,-11.7,817.7,40.061589,32.961196,-88.2,156309,0.2,2.1,0.07,3.87,-5.2,12:58:28.129,1816.2,1851.1,4.8,1.8,3.2,2.1
16.1,566.7,1.1,-3.67,-8.93,-4.5,950.7,40.062936,32.96257,-104.3,157670,0.5,14.3,-4.03,-2.07,-5.79,12:58:28.179,533.4,566.7,10.8,16.1,11.7,14.3
